Cell id	Centroid	Bbox	DAPI	CHI3L1	CHI3L2	CILP	COL1A2	COL2A1	COL3A1	CRTAC1	PRG4	STC2
Cell 1	[3097  195]	[184, 3087, 208, 3109]	133	0	62	137	362	372	3774	162	0	0
Cell 2	[4420  344]	[335, 4412, 354, 4429]	146	0	50	121	0	816	182	293	1666	0
Cell 3	[4196  360]	[352, 4189, 370, 4204]	124	0	177	0	0	168	68	79	1799	0
Cell 4	[4631  371]	[363, 4623, 382, 4641]	145	0	458	0	0	86	617	35	1186	0
Cell 5	[3775  382]	[370, 3764, 395, 3788]	218	52	195	0	0	0	316	250	556	0
Cell 6	[3712  384]	[371, 3696, 397, 3729]	330	0	117	158	0	98	1815	2123	0	0
Cell 7	[4565  385]	[378, 4559, 395, 4575]	118	0	75	449	18	446	8752	426	0	0
Cell 8	[3970  393]	[379, 3954, 409, 3985]	297	620	6696	64	0	157	3124	741	333	0
Cell 9	[5228  393]	[381, 5216, 408, 5240]	258	0	274	385	424	16865	14067	862	1219	115
Cell 10	[4733  386]	[383, 4727, 392, 4740]	56	0	0	0	0	0	34	0	0	0
Cell 11	[5698  398]	[388, 5690, 407, 5708]	115	0	232	159	0	2646	3283	290	8	0
Cell 12	[5830  400]	[392, 5822, 410, 5841]	139	0	492	16	24	5124	7047	309	3028	0
Cell 13	[4098  401]	[394, 4086, 416, 4108]	132	679	75	16	0	169	1728	393	1001	0
Cell 14	[4015  403]	[396, 4003, 419, 4024]	138	165	16	0	0	16	33	338	56	0
Cell 15	[4953  410]	[403, 4944, 421, 4964]	137	0	0	0	0	1679	221	58	0	0
Cell 16	[3117  414]	[404, 3106, 427, 3131]	203	0	0	23	0	121	231	1045	1370	8
Cell 17	[4050  415]	[404, 4038, 429, 4066]	196	20	0	0	0	324	307	444	0	0
Cell 18	[5427  420]	[411, 5419, 430, 5436]	121	0	0	0	0	352	1574	115	0	0
Cell 19	[4108  421]	[414, 4100, 431, 4116]	71	168	529	0	0	523	261	32	625	0
Cell 20	[3926  421]	[415, 3918, 433, 3935]	127	125	165	0	0	0	748	358	89	0
Cell 21	[4876  429]	[416, 4865, 445, 4887]	260	126	2697	1839	0	2742	13331	1113	1451	0
Cell 22	[3102  420]	[418, 3099, 425, 3106]	25	0	15	0	0	34	32	260	743	8
Cell 23	[4969  429]	[418, 4961, 441, 4980]	150	0	407	514	27	3745	13599	192	413	0
Cell 24	[3715  435]	[422, 3704, 447, 3727]	226	201	136	95	0	68	514	830	0	0
Cell 25	[3444  436]	[423, 3432, 450, 3457]	183	362	8307	0	0	0	631	253	5078	0
Cell 26	[5443  438]	[430, 5435, 448, 5452]	137	0	39	16	0	3729	4519	255	797	0
Cell 27	[3052  445]	[435, 3042, 457, 3066]	144	603	1567	0	0	66	397	432	822	0
Cell 28	[3239  444]	[435, 3232, 454, 3246]	138	0	0	35	0	242	141	35	0	0
Cell 29	[5079  445]	[437, 5071, 455, 5088]	120	0	0	0	199	3652	2844	29	16	0
Cell 30	[3248  446]	[439, 3244, 456, 3258]	119	0	0	22	0	276	31	25	0	0
Cell 31	[2980  448]	[441, 2971, 458, 2990]	122	71	120	0	0	127	888	181	137	0
Cell 32	[2966  450]	[442, 2955, 459, 2974]	115	167	373	0	0	152	1976	117	807	0
Cell 33	[3906  446]	[442, 3903, 452, 3912]	60	8	104	110	0	8	32	71	48	0
Cell 34	[5328  453]	[445, 5321, 463, 5337]	130	398	657	262	96	1879	904	272	136	0
Cell 35	[3682  456]	[449, 3673, 466, 3691]	123	148	511	77	0	85	502	238	142	0
Cell 36	[5314  456]	[449, 5306, 466, 5323]	136	77	352	78	98	6548	1912	164	1191	0
Cell 37	[4723  457]	[451, 4717, 466, 4733]	90	0	0	0	0	92	1516	28	0	0
Cell 38	[3677  453]	[452, 3647, 4122, 3679]	13	606	3131	28185	543	28630	17713	1558	3441	699
Cell 39	[3664  461]	[4122, 3647, 475, 3679]	186	0	0	0	0	0	0	0	0	0
Cell 40	[4014  463]	[455, 4001, 476, 4025]	130	1714	759	53	0	0	1773	256	0	0
Cell 41	[5109  467]	[458, 5100, 477, 5119]	140	0	0	339	67	1109	265	34	0	0
Cell 42	[5594  474]	[465, 5586, 483, 5603]	114	0	0	240	238	450	1030	124	939	0
Cell 43	[2787  472]	[466, 2780, 482, 2801]	110	0	0	0	0	0	38	0	16	0
Cell 44	[2856  471]	[466, 2851, 477, 2862]	57	0	1067	0	0	0	644	56	0	0
Cell 45	[3577  480]	[468, 3567, 490, 3590]	153	175	320	193	245	671	468	583	968	0
Cell 46	[2843  474]	[469, 2837, 481, 2849]	70	38	589	0	0	20	538	166	0	0
Cell 47	[3142  486]	[473, 3134, 497, 3154]	161	0	334	0	0	924	548	0	246	0
Cell 48	[3706  486]	[475, 3698, 498, 3715]	164	239	0	0	0	0	464	82	0	0
Cell 49	[4445  481]	[475, 4438, 491, 4453]	134	0	155	54	0	826	2421	223	96	0
Cell 50	[3118  485]	[476, 3111, 493, 3128]	138	38	540	48	0	40	164	34	0	0
Cell 51	[3297  486]	[477, 3287, 501, 3308]	199	8	0	63	23	773	1374	82	0	0
Cell 52	[4633  485]	[480, 4625, 492, 4641]	90	0	7	230	160	910	895	77	0	0
Cell 53	[4647  487]	[481, 4641, 496, 4654]	88	0	338	574	20	802	455	74	0	0
Cell 54	[254 490]	[482, 246, 507, 264]	126	0	0	2911	0	416	36	63	0	0
